receiver_i,label_i,indegree,correct_joint,CE_joint,CE_text_all,CE_visual_all,CE_null_all,CE_exact_os,CE_first_os,CE_second_os,dCE_text_all,dCE_visual_all,dCE_null_all,dCE_exact_os,dCE_first_os,dCE_second_os,G_local_exact,G_local_first,G_global_exact,G_global_first,G_global_second
12515,14,10,True,0.38782480,0.37411624,0.11721957,0.09885234,0.04424771,0.04424771,0.04424771,-0.01370856,-0.27060524,-0.28897247,-0.34357709,-0.34357709,-0.34357709,0.74625081,0.74625087,0.34357709,0.34357709,0.34357709
7637,11,1,False,3.94151354,2.88425827,4.12487507,3.06191397,2.88425827,2.88425827,2.88425827,-1.05725527,0.18336153,-0.87959957,-1.05725527,-1.05725527,-1.05725527,1.05725765,1.05725765,1.05725527,1.05725527,1.05725527
6717,11,2,True,0.66900212,0.63427836,0.73372579,0.69641554,0.63427836,0.63427836,0.63427836,-0.03472376,0.06472367,0.02741343,-0.03472376,-0.03472376,-0.03472376,0.03231359,0.03231359,0.03472376,0.03472376,0.03472376
4186,8,1,True,0.01089717,0.01596677,0.01041065,0.01524428,0.01041065,0.01041065,0.01041065,0.00506960,-0.00048653,0.00434711,-0.00048653,-0.00048653,-0.00048653,0.00048653,0.00048653,0.00048653,0.00048653,0.00048653
8640,12,3,True,0.00575576,0.02757098,0.01156413,0.06083217,0.00575576,0.00575576,0.00770076,0.02181523,0.00580837,0.05507641,0.00000000,0.00000000,0.00194500,0.00000000,0.00000000,0.00000000,0.00000000,-0.00194500
8139,10,2,True,0.00038366,0.02143188,0.00049055,0.02930875,0.00038366,0.00038366,0.00430396,0.02104822,0.00010688,0.02892509,0.00000000,0.00000000,0.00392029,0.00000000,0.00000000,0.00000000,0.00000000,-0.00392029
5562,7,11,True,0.00033814,0.02144775,0.00033480,0.01728213,0.00022468,0.00022468,0.00022468,0.02110961,-0.00000334,0.01694399,-0.00011346,-0.00011346,-0.00011346,0.00011596,0.00011596,0.00011346,0.00011346,0.00011346
7117,9,48,True,0.51292533,0.47051731,2.00485945,1.93603921,0.31834438,0.31834438,0.31834438,-0.04240802,1.49193406,1.42311382,-0.19458094,-0.19458094,-0.19458094,0.23445582,0.23445582,0.19458094,0.19458094,0.19458094
499,1,4,True,0.34794703,0.64106309,0.25508556,0.40134582,0.05705623,0.05705623,0.05705623,0.29311606,-0.09286147,0.05339879,-0.29089081,-0.29089081,-0.29089081,0.33654988,0.33654988,0.29089081,0.29089081,0.29089081
10465,12,7,True,0.10243849,0.19332525,0.21557283,0.43379903,0.05180565,0.05180565,0.05180565,0.09088676,0.11313435,0.33136055,-0.05063284,-0.05063284,-0.05063284,0.06117950,0.06117950,0.05063284,0.05063284,0.05063284
8752,12,4,True,0.08127277,0.17236130,0.11723600,0.23517746,0.08127277,0.08127289,0.08127277,0.09108853,0.03596323,0.15390468,0.00000000,0.00000011,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000011,0.00000000
7959,9,1,False,7.52005911,5.03420258,6.34686947,3.86433554,3.86433554,3.86433554,3.86433554,-2.48585653,-1.17318964,-3.65572357,-3.65572357,-3.65572357,-3.65572357,3.65572667,3.65572667,3.65572357,3.65572357,3.65572357
12470,14,15,True,0.00210302,0.22273320,0.00406511,0.10693828,0.00339206,0.00339206,0.00294680,0.22063017,0.00196208,0.10483526,0.00128904,0.00128904,0.00084378,0.00151901,0.00151901,-0.00128904,-0.00128904,-0.00084378
7050,9,25,True,0.71866655,0.97804898,1.54028189,1.88789690,0.69941723,0.69941723,0.69941723,0.25938243,0.82161534,1.16923034,-0.01924932,-0.01924932,-0.01924932,0.02333689,0.02333689,0.01924932,0.01924932,0.01924932
4708,8,1,True,0.02112449,0.05242212,0.01737938,0.04030833,0.01737938,0.01737938,0.01737938,0.03129764,-0.00374511,0.01918384,-0.00374511,-0.00374511,-0.00374511,0.00374511,0.00374511,0.00374511,0.00374511,0.00374511
2032,5,2,True,0.97435963,0.55908239,1.67181945,1.29846179,0.55620742,0.97435963,0.55620742,-0.41527724,0.69745982,0.32410216,-0.41815221,0.00000000,-0.41815221,0.41815227,0.00000000,0.41815221,0.00000000,0.41815221
15369,17,21,True,0.00263962,0.17989175,0.13538973,0.26975733,0.00140759,0.00140759,0.00141175,0.17725213,0.13275011,0.26711771,-0.00123204,-0.00123204,-0.00122787,0.00407433,0.00407433,0.00123204,0.00123204,0.00122787
7326,11,4,True,0.13144539,0.09661837,0.13991512,0.10240642,0.09661837,0.09661837,0.09661837,-0.03482702,0.00846973,-0.02903897,-0.03482702,-0.03482702,-0.03482702,0.03911748,0.03911748,0.03482702,0.03482702,0.03482702
6647,11,4,True,0.55844533,0.14543818,0.37950340,0.10587049,0.10642687,0.10642687,0.10642687,-0.41300714,-0.17894194,-0.45257485,-0.45201847,-0.45201847,-0.45201847,0.65648270,0.65648264,0.45201847,0.45201847,0.45201847
8764,12,1,True,0.05826087,0.22288641,0.09393965,0.31908461,0.05826087,0.05826087,0.22288641,0.16462554,0.03567879,0.26082376,0.00000000,0.00000000,0.16462554,0.00000000,0.00000000,0.00000000,0.00000000,-0.16462554
7030,11,1,True,0.43266261,0.35286179,0.44503218,0.36247399,0.35286179,0.35286179,0.35286179,-0.07980081,0.01236957,-0.07018861,-0.07980081,-0.07980081,-0.07980081,0.07980034,0.07980034,0.07980081,0.07980081,0.07980081
