dataset,train_seed,analysis_seed,receiver_i,neighbor_j,neighbor_k,edge_id_j,edge_id_k,alpha_j,alpha_k,norm_deltaV_j,norm_deltaV_k,label_i,S_exact_real,S_norm_real,S_second_real,Q_best_real,Q_text_sh,Q_visual_sh,Q_joint_sh,S_exact_sh,S_norm_sh,S_second_sh,Q_best_sh,receiver_correct_full
Grocery,42,12345,11383,11840,1998,99682,8677,0.027410123497247696,0.05330017954111099,0.34426000714302063,0.3341282606124878,13,1.7910031601786613e-05,0.017499849200248718,1.869988725215451e-05,0.0005027595907449722,-7.957592606544495e-05,-8.587981574237347e-05,-0.0001649728510528803,4.828907549381256e-07,0.0014613630482926965,3.7449059688248377e-07,0.0,True
Grocery,42,12345,3450,11206,11410,93403,95690,0.028171807527542114,0.031782086938619614,0.26112642884254456,0.27902910113334656,5,-2.86102294921875e-06,-7.715632818872109e-06,1.0577472860373582e-06,0.04192924499511719,0.04192638397216797,-0.1336040496826172,-0.09167766571044922,0.0,0.0,7.191297142914791e-07,0.04192638397216797,False
Grocery,42,12345,3450,12065,11410,101718,95690,0.038490016013383865,0.031782086938619614,0.2632545530796051,0.27902910113334656,5,-6.67572021484375e-06,-4.821633410756476e-05,7.256558257062729e-08,0.009176254272460938,0.009169578552246094,-0.1336050033569336,-0.1244344711303711,9.5367431640625e-07,3.569019554561237e-06,1.4904532141507396e-07,0.009169578552246094,False
Grocery,42,12345,3450,11410,11206,95690,93403,0.031782086938619614,0.028171807527542114,0.27902910113334656,0.26112642884254456,5,-3.814697265625e-06,-1.4276332876761444e-05,1.517910185599991e-07,0.009167671203613281,0.009168624877929688,-0.18540000915527344,-0.17623424530029297,-2.86102294921875e-06,-7.715751962678041e-06,2.2830013442083306e-07,0.009168624877929688,False
Grocery,42,12345,9943,8506,9747,61109,76026,0.10000000149011612,0.06201736629009247,0.6428858041763306,0.3710598945617676,12,2.275407314300537e-05,0.002881141845136881,-1.3370990161430674e-05,0.003960166126489639,0.0032196901738643646,0.0032861661165952682,0.006110880523920059,-0.00039497576653957367,-0.03130567446351051,-0.0004750112120525939,0.006110880523920059,True
Grocery,42,12345,9943,9970,8506,78349,61109,0.22360679507255554,0.10000000149011612,1.3263555765151978,0.6428858041763306,12,-0.007408333942294121,-0.10145117342472076,-0.01335189989276931,0.03280764818191528,0.017772100865840912,0.002269737422466278,0.018930306658148766,-0.0011115316301584244,-0.02852117270231247,-0.0020915850464005474,0.018930306658148766,True
Grocery,42,12345,9943,9747,8506,76026,61109,0.06201736629009247,0.10000000149011612,0.3710598945617676,0.6428858041763306,12,-0.000668063759803772,-0.041850313544273376,-0.0008256048379297063,0.007647549733519554,0.004286585375666618,0.0013564955443143845,0.005444791167974472,-0.00019828975200653076,-0.017883464694023132,-0.0003021173507566559,0.005444791167974472,True
Grocery,42,12345,12993,15885,12786,135410,107745,0.08606629818677902,0.40824827551841736,0.6064378023147583,2.892864227294922,14,0.0021645277738571167,0.02223256789147854,0.0018039285850217773,0.047596946358680725,-0.020268768072128296,0.0734626054763794,0.06707459688186646,0.013880759477615356,0.08631991595029831,0.01662596950970239,0.0734626054763794,True
Grocery,42,12345,12993,12786,15885,107745,135410,0.40824827551841736,0.08606629818677902,2.892864227294922,0.6064378023147583,14,0.021465584635734558,0.12015625834465027,0.021555678078429882,0.10005640983581543,0.0407489538192749,0.05633179843425751,0.09051042795181274,-0.0065703243017196655,-0.035024695098400116,-0.011455118509696023,0.09051042795181274,True
Grocery,42,12345,12596,12442,12595,105462,106616,0.14907120168209076,0.1666666716337204,1.062885046005249,1.5584075450897217,14,0.00023542717099189758,0.03462276980280876,0.00011119046900377565,0.003282170742750168,-0.004421655088663101,0.020403794944286346,0.018170759081840515,0.00218861922621727,0.0509025976061821,0.0024509735316422085,0.020403794944286346,True
